mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009374523162841797,0.007654268433751645,0.003123617172241211,0.006247234344482422,mse,20,2,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 2, 'splitter': 'random'}",-11.682598323636753,-7.906713054715264,-7.034211182363224,-6.800291508796001,-7.395708459662485,-8.163904505834747,1.7985063915433175,28
0.01874818801879883,0.0062526956215541276,0.0,0.0,mse,30,sqrt,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'sqrt', 'splitter': 'best'}",-11.749861374074767,-9.022183542920667,-9.101856194005414,-6.0174439306624645,-6.860004449246732,-8.550269898182009,2.0018261768716084,81
0.009374094009399415,0.007653916870002303,0.0031247615814208986,0.006249523162841797,mse,30,sqrt,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'sqrt', 'splitter': 'random'}",-10.977370481162117,-7.531366160152205,-6.712494608873054,-6.4914320071496965,-8.92472743291022,-8.127478138049458,1.6608231468734598,23
0.015621805191040039,4.361431151305818e-06,0.006249713897705078,0.007654305116657096,mse,30,log2,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'log2', 'splitter': 'best'}",-11.57923282288792,-7.212067669525373,-7.1897399401296145,-5.878384059819263,-8.778123764017549,-8.127509651275943,1.9551830377937427,24
0.009375047683715821,0.007654695214960767,0.0,0.0,mse,30,log2,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'log2', 'splitter': 'random'}",-12.933725286861737,-9.201580308079434,-5.56851101390022,-6.809432025568367,-8.495801490406375,-8.601810024963228,2.511970295262584,85
0.01874551773071289,0.0062539139676245845,0.0031288623809814452,0.0062577247619628905,mse,30,2,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 2, 'splitter': 'best'}",-13.499956654174882,-7.586419182700195,-7.179666288584955,-6.008934727932137,-8.810821296332586,-8.61715962994495,2.6004177255347694,88
0.009375715255737304,0.007655242142520652,0.0031221389770507814,0.006244277954101563,mse,30,2,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 2, 'splitter': 'random'}",-12.18638526512649,-7.781316022969759,-7.10430218625307,-6.16565538825652,-7.060625361576353,-8.059656844836436,2.126281684711397,17
0.018729305267333983,0.00625673841025746,0.0,0.0,mse,50,sqrt,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'splitter': 'best'}",-13.023093452454065,-6.760985756540167,-7.6385887486078525,-6.986258439382252,-9.432006102893297,-8.768186499975526,2.3248657233027537,108
0.006268739700317383,0.0076776312486730005,0.006249713897705078,0.007654309869508756,mse,50,sqrt,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'splitter': 'random'}",-13.611773624586428,-7.800507555414936,-6.532005280511014,-6.297684582387455,-9.077098591279205,-8.663813926835807,2.66614266139564,97
0.0185549259185791,0.006382439376028608,0.008262825012207032,0.007450665789918208,mse,50,log2,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'splitter': 'best'}",-13.844105388301776,-7.1435354874741535,-6.681512389531008,-5.535702416031732,-10.317676207121924,-8.704506377692118,3.019544609113128,99
0.014214181900024414,0.0022738761659422337,0.001626729965209961,0.003253459930419922,mse,50,log2,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'splitter': 'random'}",-10.26145076770694,-7.406912547956949,-7.288444431554142,-7.159004858048651,-9.95776434403434,-8.414715389860204,1.389416669695812,64
0.014002513885498048,0.0032426934159073303,0.003125619888305664,0.006251239776611328,mse,50,2,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 2, 'splitter': 'best'}",-10.706281699312699,-7.06295833327658,-6.916410095459325,-6.97257623279566,-9.162815932926081,-8.16420845875407,1.5263743449157077,29
0.012497806549072265,0.006248912419284365,0.0,0.0,mse,50,2,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 2, 'splitter': 'random'}",-11.122486917719517,-7.8639244150854894,-7.246557068276423,-6.056265469746911,-8.546841247089857,-8.16721502358364,1.6895829260832493,30
