mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.001716947555541992,0.003433895111083984,0.014034366607666016,0.003221610571984095,13,2,"{'n_neighbors': 13, 'p': 2}",-11.885561544436111,-5.875885161251712,-5.73508433106624,-6.151966254205247,-8.712739322091052,-7.672247322610073,2.3717256304363175,23
0.012499332427978516,0.006249672563507646,0.0032371044158935546,0.006474208831787109,14,1,"{'n_neighbors': 14, 'p': 1}",-10.124766188529518,-5.975496132042731,-5.358020294536658,-5.993521329924416,-8.971848448107911,-7.284730478628246,1.897666864858715,6
0.0062354087829589845,0.007636812868831769,0.00939040184020996,0.007667315507637518,14,2,"{'n_neighbors': 14, 'p': 2}",-11.933562909249217,-5.891644875900606,-5.794972464926999,-6.169335787596232,-8.652015701847489,-7.688306347904108,2.3694267741803987,25
0.012598562240600585,0.004347234595107047,0.0,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",-10.18821481674915,-5.946276117308595,-5.367706505095886,-5.978733945563245,-8.882765409306122,-7.2727393588046,1.9055333082062933,5
0.010510778427124024,0.006543095161918011,0.008470249176025391,0.0071810860828696805,15,2,"{'n_neighbors': 15, 'p': 2}",-12.015839688759963,-5.930336701940263,-5.824607503474002,-6.208917242493636,-8.602760142184364,-7.716492255770445,2.3795890870126675,29
0.006232738494873047,0.00763359605464592,0.009387731552124023,0.007665103283301613,16,1,"{'n_neighbors': 16, 'p': 1}",-10.239710544986048,-5.940289635828142,-5.371009436514839,-6.003091580618584,-8.992654869538702,-7.309351213497263,1.936921768498638,7
0.01129460334777832,0.006112639737597327,0.007585048675537109,0.007024430526392635,16,2,"{'n_neighbors': 16, 'p': 2}",-11.953709105982924,-5.967917030962688,-5.830201755654325,-6.227967515120979,-8.591956550672089,-7.714350391678602,2.3474128099091827,28
0.0,0.0,0.01570882797241211,0.000164032301237107,17,1,"{'n_neighbors': 17, 'p': 1}",-10.294345136253563,-5.9041014339954145,-5.379169566551011,-6.004368667527339,-9.034750553390012,-7.323347071543466,1.9641547677851874,8
0.006311178207397461,0.007730203575099162,0.01254725456237793,0.006274493179847,17,2,"{'n_neighbors': 17, 'p': 2}",-11.88065459840848,-6.006077259298015,-5.8196157025590765,-6.270081874661746,-8.806830411256545,-7.756651969236772,2.329668835052951,33
0.01271042823791504,0.005132488536081736,0.0,0.0,18,1,"{'n_neighbors': 18, 'p': 1}",-10.318986909453415,-5.975213096164658,-5.344409043182098,-6.041050986863408,-8.998919774664838,-7.335715962065683,1.9574770067158445,12
0.011719131469726562,0.006959767097961334,0.007897377014160156,0.0071215141564182705,18,2,"{'n_neighbors': 18, 'p': 2}",-11.83802446863268,-6.0179921066420725,-5.780359767263789,-6.3087388628601095,-8.881388218686629,-7.765300684817056,2.3215245188125904,35
0.015083789825439453,0.0005265541116179815,0.0,0.0,19,1,"{'n_neighbors': 19, 'p': 1}",-10.36023052634964,-6.012972647748779,-5.376332566729691,-6.12077807301895,-8.785243476438316,-7.331111458057076,1.913824422298611,10
0.008756160736083984,0.007240111280336922,0.013254308700561523,0.006759174001444234,19,2,"{'n_neighbors': 19, 'p': 2}",-11.73348074963016,-6.064699915873548,-5.7679848793606245,-6.35070360247821,-8.906345697115515,-7.764642968891612,2.2773156518734523,34
0.003240489959716797,0.006480979919433594,0.015810155868530275,0.00014382096420863642,20,1,"{'n_neighbors': 20, 'p': 1}",-10.391584628394112,-6.06026144102437,-5.404806047165701,-6.184662695050424,-8.811853731175532,-7.3706337085620275,1.9074244798863655,15
0.012091684341430663,0.006098712132526527,0.00997910499572754,0.007178177051913714,20,2,"{'n_neighbors': 20, 'p': 2}",-11.793879848774282,-6.0582208032274245,-5.830351684030995,-6.395326719028388,-8.87455869343127,-7.790467549698471,2.279987481510153,38
0.011878490447998047,0.0060601131350725024,0.0038282394409179686,0.006054024350369063,25,1,"{'n_neighbors': 25, 'p': 1}",-10.394000184313706,-6.172081631713131,-5.468275738674433,-6.259521487840496,-8.754464135258175,-7.409668635559989,1.8621587559856903,16
0.007660436630249024,0.006992400154676774,0.01445460319519043,0.01275524556082535,25,2,"{'n_neighbors': 25, 'p': 2}",-11.697289941993134,-6.145954726538252,-5.995731176954583,-6.566214921350488,-8.76919088172601,-7.834876329712493,2.1741938937492966,39
0.012842750549316407,0.006436333218952025,0.003114652633666992,0.006229305267333984,30,1,"{'n_neighbors': 30, 'p': 1}",-10.383185012735714,-6.267528712433677,-5.466007668981918,-6.26711933210719,-8.462547845589784,-7.369277714369656,1.8072032321513178,14
0.00845508575439453,0.007046310040328149,0.01658940315246582,0.005488081056373951,30,2,"{'n_neighbors': 30, 'p': 2}",-11.628528952742627,-6.2965327517786704,-6.068403167897349,-6.696633255609753,-8.638641000573942,-7.865747825720469,2.0888081920054726,40
