,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
478,-54.96085,-20.94959,-103.67857142857143,138,2292.883668928475,178,8.45
2007,-54.97884000000001,-20.93863,-97.46428571428572,331,2293.6285517396745,135,21.19
358,-54.96574,-20.94876,-110.17857142857143,133,2293.901892490483,171,10.28
480,-54.96081,-20.94961,-103.07142857142857,138,2294.815163094851,178,8.45
421,-54.96366,-20.94926,-116.96666666666668,135,2295.1443874532492,174,9.53
356,-54.96572,-20.94878,-111.30769230769229,133,2295.4208664633666,171,10.28
438,-54.96252,-20.94945,-107.4,136,2295.8132425309177,176,8.98
353,-54.9657,-20.94879,-111.71428571428572,133,2295.882373760331,171,10.28
375,-54.96479,-20.94903,-113.04081632653063,134,2296.238870379951,172,10.05
495,-54.95859,-20.94966,-108.10714285714286,140,2296.7550258988053,181,7.69
340,-54.965680000000006,-20.94881,-110.25,133,2297.4070072228074,171,10.28
481,-54.96077,-20.94964,-103.15686274509804,138,2297.8595999144977,178,8.45
505,-54.96876,-20.94771,-79.21428571428571,160,2297.9896638796818,166,11.66
2005,-54.97888,-20.93865,-106.17857142857143,331,2298.341622538133,135,21.19
342,-54.96565,-20.94883,-111.03571428571428,133,2298.638246094103,171,10.28
476,-54.96072,-20.94966,-100.8181818181818,138,2299.742945234645,178,8.45
345,-54.96562,-20.94885,-111.4,133,2299.875191639079,171,10.28
431,-54.96254,-20.94949,-104.03571428571428,136,2300.494725587408,176,8.98
2026,-54.97891,-20.93865,-105.24528301886794,331,2301.0992026923245,135,21.19
348,-54.9656,-20.94887,-112.17647058823529,133,2301.411093548918,171,10.28
1696,-54.97827,-20.93972,-112.86666666666666,302,2301.6821809597427,139,20.12
510,-54.96882,-20.94774,-87.19230769230771,160,2303.6552654043126,166,11.66
485,-54.95864,-20.94973,-105.96153846153848,140,2304.326336428097,181,7.69
349,-54.96552,-20.94892,-110.64285714285714,133,2304.3939235924686,171,10.28
351,-54.96549,-20.94893,-109.92857142857143,133,2304.5917331386227,171,10.28
2006,-54.97896,-20.93864,-108.96428571428572,331,2305.1806300903895,135,21.19
352,-54.96547,-20.94895,-111.05660377358492,133,2306.145196537631,171,10.28
1691,-54.97831,-20.93974,-112.67857142857143,302,2306.3876832816873,139,20.12
339,-54.96546,-20.94896,-111.78571428571428,133,2306.923036500437,171,10.28
2010,-54.97901,-20.9386,-107.82716049382715,331,2307.724133891375,135,21.19
2012,-54.97914,-20.938370000000006,-109.0,331,2308.067457704874,134,21.42
2022,-54.9791,-20.93845,-105.28571428571428,331,2308.3899670105798,134,21.42
2004,-54.97916,-20.93834,-111.5,331,2308.4212669719345,134,21.42
392,-54.96373000000001,-20.94937,-117.62962962962965,135,2308.5140798093103,174,9.53
1999,-54.97921,-20.93825,-108.85185185185185,331,2308.591805709185,133,21.55
2024,-54.97913000000001,-20.9384,-108.84,331,2308.646856509299,134,21.42
2015,-54.97905,-20.93855,-107.5,331,2308.851372730433,134,21.42
2020,-54.97908,-20.9385,-109.27272727272728,331,2309.0746360701605,134,21.42
2000,-54.9792,-20.93828,-109.0,331,2309.1486806429634,133,21.55
511,-54.96881,-20.9478,-80.39285714285714,160,2309.2199495330196,166,11.66
2023,-54.97925,-20.93819,-109.07142857142857,331,2309.3572033603627,133,21.55
379,-54.96485,-20.94914,-116.56962025316456,134,2309.5809139720773,172,10.05
2021,-54.9791,-20.93848,-108.33333333333331,331,2309.9085948274856,134,21.42
454,-54.96259000000001,-20.94957,-106.35714285714286,136,2310.011503530487,175,9.28
2008,-54.97931,-20.93809,-107.5,331,2310.068367052658,133,21.55
2025,-54.97929,-20.93813,-110.03571428571428,331,2310.1489463063504,133,21.55
1697,-54.97834,-20.93976,-114.19230769230771,302,2310.20412964124,139,20.12
357,-54.96543000000001,-20.949,-112.17857142857143,133,2310.3259326330876,171,10.28
2019,-54.97928,-20.93816,-108.70370370370372,331,2310.6826001082163,133,21.55
479,-54.96054,-20.94977,-104.0,138,2310.826189247945,178,8.45
2002,-54.97937,-20.93799,-110.57142857142857,331,2310.8492214386692,132,21.67
2003,-54.97935,-20.93803,-110.41071428571428,331,2310.90293476826,132,21.67
2016,-54.97941,-20.93792,-105.90384615384615,331,2311.2495020157503,132,21.67
2027,-54.97943000000001,-20.93789,-105.46428571428572,331,2311.699695927458,132,21.67
2383,-54.97961,-20.93753,-108.07692307692308,361,2311.923983615091,130,22.02
483,-54.95868000000001,-20.9498,-100.78571428571428,140,2311.941977091425,181,7.69
2029,-54.97945,-20.93786,-107.0,331,2312.156446110743,132,21.67
354,-54.96542,-20.94902,-112.53571428571428,133,2312.172052423419,171,10.28
2028,-54.97948,-20.93781,-107.03571428571428,331,2312.618437061771,131,21.94
2014,-54.97951,-20.93775,-111.46428571428572,331,2312.630031983208,131,21.94
2391,-54.97954,-20.93769,-104.85714285714286,361,2312.664921232873,131,21.94
2382,-54.97959,-20.93759,-102.44642857142857,361,2312.7748319810203,131,21.94
2381,-54.97963000000001,-20.93751,-103.88888888888887,361,2312.9093409231223,130,22.02
2001,-54.9795,-20.93778,-110.80769230769229,331,2313.092403954876,131,21.94
2389,-54.97956,-20.93766,-105.7924528301887,361,2313.163571555737,131,21.94
423,-54.96262,-20.9496,-104.45454545454544,136,2313.753310865731,175,9.28
2371,-54.97966,-20.93749,-105.36363636363636,360,2314.847178707767,130,22.02
477,-54.96047,-20.94981,-101.82758620689656,138,2314.8730403987665,178,8.45
347,-54.96542,-20.94905,-112.44,133,2315.367775718596,171,10.28
451,-54.96264,-20.94964,-100.2,136,2318.439624023609,175,9.28
346,-54.96542,-20.94908,-111.16363636363636,133,2318.563852544533,171,10.28
500,-54.96885,-20.94788,-79.53571428571429,160,2319.0056333880857,166,11.66
2369,-54.97971,-20.93748,-106.78571428571428,360,2319.140722040078,130,22.02
1701,-54.97843,-20.9398,-113.57142857142857,302,2320.5043716733885,139,20.12
387,-54.96491,-20.94923,-117.46428571428572,134,2320.7822303427947,172,10.05
2373,-54.97973,-20.93749,-104.32142857142857,360,2321.4917393934247,130,22.02
399,-54.9638,-20.94948,-119.71428571428572,135,2321.893497501799,174,9.53
343,-54.96544,-20.94911,-111.29729729729729,133,2322.326174856093,171,10.28
264,-54.96032,-20.94989,-101.25,108,2322.9943015376803,179,8.19
2380,-54.97976,-20.9375,-105.60377358490568,360,2324.7922728488643,130,22.02
1695,-54.97847,-20.93982,-112.92592592592592,302,2325.2099943248363,139,20.12
290,-54.95877,-20.94993,-103.82142857142857,109,2326.06393421059,181,7.69
391,-54.96494000000001,-20.94928,-116.15094339622641,134,2326.92100595675,172,10.05
499,-54.96892,-20.94793,-88.21739130434781,160,2327.118448683282,166,11.66
442,-54.96269,-20.949720000000006,-105.74193548387095,136,2327.969464630913,175,9.28
2376,-54.97979,-20.93751,-106.85714285714286,360,2328.0928359063687,130,22.02
402,-54.96384000000001,-20.94953,-122.53571428571428,135,2328.148513990528,174,9.53
498,-54.9689,-20.94796,-79.48,160,2329.2343742260427,166,11.66
366,-54.96547,-20.94917,-111.0,133,2329.568264915929,171,10.28
370,-54.96549,-20.94919,-110.62962962962965,133,2332.266704784944,171,10.28
267,-54.96016,-20.94998,-103.39285714285714,108,2332.2942988368895,179,8.19
2379,-54.97983000000001,-20.93755,-105.43478260869566,360,2333.699590545758,130,22.02
286,-54.95881,-20.95,-105.48148148148148,109,2333.7062817312244,181,7.69
404,-54.96386999999999,-20.94958,-119.7391304347826,135,2334.1979207571185,174,9.53
1705,-54.97855,-20.939870000000006,-111.125,302,2335.195455266368,139,20.12
341,-54.96549,-20.94923,-111.0,133,2336.5267762727826,171,10.28
2375,-54.97986,-20.93756,-107.80769230769229,360,2336.9999171839845,130,22.02
449,-54.96274,-20.9498,-107.69811320754715,136,2337.5055849215782,175,9.28
384,-54.965,-20.94937,-117.57142857142857,134,2338.1302922184136,172,10.05
344,-54.96547,-20.94926,-113.21428571428572,133,2339.155931376159,171,10.28
497,-54.96897,-20.94803,-87.35185185185185,160,2339.3505150435067,166,11.66
2378,-54.97988,-20.93758,-109.28571428571428,360,2339.804040898136,130,22.02
1690,-54.97859,-20.93989,-111.60714285714286,301,2339.9010591306233,139,20.12
407,-54.96391,-20.94963,-122.44303797468358,135,2340.4591821657555,174,9.53
507,-54.96895,-20.94805,-79.92857142857143,160,2340.4649311365065,166,11.66
268,-54.96001999999999,-20.95006,-104.53571428571428,108,2340.6716886218323,179,8.19
296,-54.95884,-20.95007,-105.67857142857143,109,2341.380388638391,181,7.69
350,-54.9654,-20.9493,-114.1304347826087,133,2341.4531273043176,171,10.28
386,-54.96502,-20.9494,-114.63636363636364,134,2341.867915219356,172,10.05
445,-54.96276,-20.94984,-109.06122448979592,136,2342.1973276163126,175,9.28
2374,-54.9799,-20.9376,-108.89285714285714,360,2342.60874803349,130,22.02
355,-54.96536999999999,-20.94932,-113.11764705882355,133,2342.751290107173,172,10.05
265,-54.95996,-20.95009,-104.58181818181818,108,2343.8164391916052,179,8.19
383,-54.9653,-20.94936,-113.72727272727272,134,2345.089804243785,172,10.05
2370,-54.97993,-20.937620000000006,-108.03571428571428,360,2346.3626504759127,130,22.02
266,-54.95991,-20.95012,-102.94339622641508,108,2347.003531537249,179,8.19
254,-54.96279000000001,-20.94988,-108.11111111111113,106,2347.047908338338,175,9.28
385,-54.96527,-20.94939,-113.67857142857143,134,2347.4745234424986,172,10.05
283,-54.95888000000001,-20.95013,-110.25,109,2347.930024716749,181,7.69
390,-54.96507,-20.94945,-112.07407407407408,134,2348.5366207750385,172,10.05
