,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
691,-51.7992,-30.8611,-92.8,407,1611.3486463922234,195,6.48
1085,-51.8067,-30.8573,-100.16666666666669,522,1611.9605480398197,225,0.73
1914,-51.8115,-30.8482,-95.0,759,1612.0611230875095,266,2.91
812,-51.8047,-30.8588,-96.40625,464,1612.3438917600974,216,1.89
693,-51.7993,-30.8611,-96.97368421052632,407,1613.9322127966816,196,6.2
746,-51.8013,-30.8605,-95.03125,436,1614.8415545989608,203,4.45
813,-51.8048,-30.8588,-97.05797101449276,464,1618.0388350930666,216,1.89
1084,-51.8068,-30.8573,-99.44,522,1618.7876963054632,225,0.73
701,-51.795,-30.8617,-87.57894736842104,410,1619.4730870766693,181,10.38
696,-51.7991,-30.8612,-91.875,407,1619.520274930482,195,6.48
711,-51.7951,-30.8617,-86.68656716417911,410,1619.6730567593042,181,10.38
749,-51.8012,-30.8606,-91.50909090909092,436,1621.3565106927833,202,4.66
699,-51.7992,-30.8612,-92.46875,407,1622.034421251649,195,6.48
1240,-51.7816,-30.8564,-105.45205479452056,539,1622.768151931048,130,25.52
814,-51.8049,-30.8588,-96.28205128205127,464,1623.7701496260918,217,1.73
1083,-51.8069,-30.8573,-102.23076923076924,522,1625.6424533698057,225,0.73
1759,-51.8113,-30.8503,-96.56521739130434,699,1627.5132382782563,257,1.36
803,-51.805,-30.8588,-97.59615384615385,463,1629.5374515884394,217,1.73
1242,-51.7816,-30.8565,-104.98305084745763,539,1629.838093621287,130,25.52
698,-51.7991,-30.8613,-86.22222222222223,407,1630.2278870123907,195,6.48
636,-51.795,-30.8618,-84.11650485436894,380,1630.558020902662,181,10.38
873,-51.785,-30.8592,-84.45945945945945,476,1631.3187372955524,146,20.33
1913,-51.8117,-30.8483,-93.0,759,1632.0068794548245,265,2.68
886,-51.7845,-30.8589,-78.3050847457627,477,1632.18647356362,144,21.14
889,-51.7848,-30.8591,-76.875,477,1633.222683571791,145,20.69
683,-51.8013,-30.8607,-81.5945945945946,406,1635.2709478581999,202,4.66
800,-51.8051,-30.8588,-96.8780487804878,463,1635.34036023755,217,1.73
877,-51.7846,-30.859,-79.9887640449438,477,1635.4233918066952,144,21.14
874,-51.7849,-30.8592,-83.37142857142857,476,1636.7754933610202,145,20.69
1752,-51.8114,-30.8503,-97.83333333333331,699,1636.8492841983705,257,1.36
885,-51.7844,-30.8589,-81.45544554455445,477,1637.919666503423,143,21.48
695,-51.799,-30.8614,-90.14406779661016,407,1638.5112409008348,194,6.69
883,-51.7847,-30.8591,-89.3611111111111,477,1638.7847647738445,145,20.69
872,-51.7852,-30.8594,-88.0,476,1638.929138972215,147,19.96
1087,-51.807,-30.8574,-101.94444444444444,522,1640.2269810958505,225,0.73
870,-51.785,-30.8593,-86.13953488372093,476,1640.4513234214278,146,20.33
799,-51.8052,-30.8588,-97.44444444444444,463,1641.1784978721178,217,1.73
1915,-51.8118,-30.8483,-94.27272727272728,759,1641.540534518451,265,2.68
637,-51.795,-30.8619,-78.90163934426229,380,1641.6429788777295,181,10.38
1520,-51.81,-30.8538,-93.0,610,1641.8016890848594,243,0.08
643,-51.7951,-30.8619,-79.6484375,380,1641.840247947256,181,10.38
871,-51.7851,-30.8594,-90.5,476,1644.2493485230725,146,20.33
1241,-51.7815,-30.8566,-104.34782608695652,539,1644.2837123887743,130,25.52
1757,-51.8115,-30.8503,-99.03448275862068,699,1646.187964388592,258,1.48
797,-51.8053,-30.8588,-97.5137614678899,463,1647.0514898776444,218,1.61
682,-51.8014,-30.8608,-89.54385964912281,406,1649.1979849057668,203,4.45
1912,-51.8119,-30.8483,-98.4,759,1651.0745587802703,266,2.91
1249,-51.7815,-30.8567,-102.61016949152544,539,1651.4103968327815,131,25.31
884,-51.7843,-30.859,-81.83177570093459,477,1652.5295944119994,143,21.48
686,-51.8015,-30.8608,-93.93548387096773,406,1652.940480256561,203,4.45
796,-51.8054,-30.8588,-94.5,463,1652.9589647377322,218,1.61
640,-51.7952,-30.862,-84.5,380,1653.1751703270315,182,10.02
641,-51.7953,-30.862,-87.03846153846153,380,1653.481726959751,182,10.02
694,-51.7988,-30.8616,-92.5,407,1655.3422001288768,194,6.69
697,-51.7989,-30.8616,-93.96774193548387,407,1657.636444865054,194,6.69
876,-51.7842,-30.859,-81.53846153846153,477,1658.3027921266141,143,21.48
887,-51.7839,-30.8588,-92.01612903225808,477,1658.4239801290112,142,21.91
804,-51.8055,-30.8588,-99.296875,463,1658.9005540641272,218,1.61
1089,-51.8073,-30.8574,-100.3913043478261,522,1660.9366842297381,226,0.59
892,-51.784,-30.8589,-92.3409090909091,477,1661.205355596992,142,21.91
882,-51.7837,-30.8587,-93.70270270270271,477,1661.8047016291277,141,22.23
680,-51.8015,-30.8609,-93.27777777777777,406,1663.1373051351527,203,4.45
